iter	RMSE
0	0.3641521053
1	0.353508328
2	0.3427295572
3	0.3325014406
4	0.3220167931
5	0.3131914871
6	0.3046757077
7	0.2960227493
8	0.2871114796
9	0.2789830096
10	0.2709564379
11	0.2630076768
12	0.2552604245
13	0.2484168221
14	0.241829564
15	0.234520823
16	0.2285709703
17	0.2219232878
18	0.2158389431
19	0.2097940319
20	0.2045611928
21	0.1989909928
22	0.1939981702
23	0.1889745658
24	0.1837457294
25	0.178984558
26	0.1742766986
27	0.1701352053
28	0.1658498698
29	0.1616409103
30	0.1576095407
31	0.1537511886
32	0.1499834715
33	0.1464448037
34	0.143126641
35	0.1401637726
36	0.1370021726
37	0.13402842
38	0.131329418
39	0.1281598403
40	0.1254402674
41	0.1226596373
42	0.1201832925
43	0.1179323233
44	0.1151259565
45	0.113103298
46	0.1108842971
47	0.1088243469
48	0.1066547598
49	0.1046070874
50	0.1026244911
51	0.1009468241
52	0.09936088673
53	0.09769804043
54	0.09590518002
55	0.09436396595
56	0.092914979
57	0.09132356899
58	0.08990625974
59	0.08853606916
60	0.08714394554
61	0.08570350554
62	0.08440326052
63	0.08301793124
64	0.08169297113
65	0.08058401405
66	0.07950410566
67	0.0782972356
68	0.07744345327
69	0.07651662324
70	0.0756881382
71	0.0747706416
72	0.07400715528
73	0.07305121226
74	0.07221394117
75	0.07146079827
76	0.07071126625
77	0.07015145956
78	0.06937387741
79	0.06871865161
80	0.06807597973
81	0.06757763815
82	0.06692908527
83	0.06650538652
84	0.06603890891
85	0.06549554126
86	0.06492284732
87	0.06448693651
88	0.06403812413
89	0.063680147
90	0.06333201831
91	0.06298333929
92	0.06253307398
93	0.06221854492
94	0.06180131763
95	0.06140027762
96	0.06111745851
97	0.06066660245
98	0.06041495642
99	0.06015165059
100	0.05994492434
101	0.05961004372
102	0.05933753861
103	0.05905871859
104	0.05892734872
105	0.05872463566
106	0.05850476057
107	0.05826452668
108	0.05806920659
109	0.05780769114
110	0.05761890988
111	0.05739603247
112	0.05716534508
113	0.05691024066
114	0.05668757903
115	0.05645605396
116	0.05628796403
117	0.05622586061
118	0.05600521809
119	0.05577245068
120	0.05566855941
121	0.05561210678
122	0.05549464928
123	0.05540728427
124	0.05516468321
125	0.05494227447
126	0.05477702369
127	0.05459293684
128	0.05445797068
129	0.0543864925
130	0.05424441101
131	0.05402775705
132	0.05383941488
133	0.05374662381
134	0.0536174187
135	0.05343107409
136	0.05325155338
137	0.05315896964
138	0.05302411383
139	0.05283255805
140	0.05277955378
141	0.05272037198
142	0.05260881558
143	0.05239966659
144	0.05235924526
145	0.05224182391
146	0.05213175528
147	0.05200308405
148	0.05186954578
149	0.05168985782
150	0.05155135066
151	0.0514801629
152	0.05140945021
153	0.0512753002
154	0.05116177903
155	0.05111290758
156	0.05101798021
157	0.05092312877
158	0.05079633396
159	0.05067104986
160	0.05060855855
161	0.05047029645
162	0.05037300011
163	0.05029961026
164	0.0502530701
165	0.05012860499
166	0.04996438739
167	0.04983005002
168	0.04969788668
169	0.04957511787
170	0.04952802108
171	0.04948890377
172	0.04933547713
173	0.04922071869
174	0.04906640091
175	0.0489725473
176	0.04890357569
177	0.04885093415
178	0.04878227572
179	0.04873809913
180	0.04868886828
181	0.04858910357
182	0.0485287722
183	0.04839388389
184	0.04827257385
185	0.04816553919
186	0.04807695018
187	0.04798672492
188	0.04787343382
189	0.04775451772
190	0.04764868677
191	0.04752118278
192	0.04739551418
193	0.04728861046
194	0.0472133809
195	0.04714415354
196	0.04700048855
197	0.04689391347
198	0.04684941747
199	0.0467325711
200	0.04662110473
201	0.04648975064
202	0.04645199567
203	0.04637959416
204	0.04621172691
205	0.04609407939
206	0.04603980248
207	0.04593153337
208	0.04586982339
209	0.04577101095
210	0.04565655747
211	0.045502802
212	0.04535767817
213	0.04527009604
214	0.0451638187
215	0.04509288849
216	0.04494488942
217	0.04485637946
218	0.04472908093
219	0.04464880434
220	0.04454214844
221	0.0444178967
222	0.04436972428
223	0.04418867673
224	0.04408388625
225	0.04399798081
226	0.04388020084
227	0.04379830426
228	0.04364137684
229	0.04353942425
230	0.04341679881
231	0.04333158882
232	0.04322905391
233	0.04316908801
234	0.04306845382
235	0.04297641266
236	0.04288422075
237	0.04279627585
238	0.04273124862
239	0.04261581029
